Geometry X Y;Geometry;N_SQ_AD;N_VOIE;C_SUF1;C_SUF2;C_SUF3;C_AR;A_NVOIE;B_ANGLE;B_OFFSTDF;B_AFFSTDF;B_HORS75;L_NVOIE;L_ADR;N_SQ_AR;N_SQ_VO;OBJECTID
48.8680239005, 2.3336589454;"{""type"": ""Point"", ""coordinates"": [2.33365894540455, 48.86802390051316]}";750005006;30;;;;2;285.98001099;O;O;;N;30;30 AV DE L'OPERA;750000002;750005929;4646
48.870831115, 2.34193739093;"{""type"": ""Point"", ""coordinates"": [2.341937390926284, 48.87083111498587]}";750006228;23;;;;2;167.91999817;O;O;;N;23;23 GAL DES VARIETES;750000002;750005480;4783
48.8637568839, 2.34100184986;"{""type"": ""Point"", ""coordinates"": [2.341001849863409, 48.863756883927444]}";750000265;17;;;;1;37.18000031;N;O;;N;17;17 RUE DU BOULOI;750000001;750005949;4897
48.8704457131, 2.34132568518;"{""type"": ""Point"", ""coordinates"": [2.341325685176476, 48.87044571312453]}";750004118;2;;;;2;260.64001465;O;O;;N;2;2 GAL FEYDEAU;750000002;750005806;9030
48.8691257702, 2.34304452078;"{""type"": ""Point"", ""coordinates"": [2.343044520783836, 48.86912577017413]}";750004758;125;;;;2;109.0;N;O;;N;125;125 RUE MONTMARTRE;750000002;750005645;7658
48.8641743457, 2.34219794266;"{""type"": ""Point"", ""coordinates"": [2.342197942657971, 48.86417434566545]}";750000464;2;;;;1;217.22000122;O;O;;N;2;2 RUE COQ HERON;750000001;750005878;7690
48.867133835, 2.33958402295;"{""type"": ""Point"", ""coordinates"": [2.33958402295155, 48.86713383497594]}";750006325;64;;;;2;345.30999756;N;O;;N;64;64 GAL VIVIENNE;750000002;750005502;8380
48.8630878939, 2.34126268799;"{""type"": ""Point"", ""coordinates"": [2.341262687993574, 48.8630878938523]}";750000435;1;;;;1;160.55000305;O;O;;N;1;1 RUE DU COLONEL DRIANT;750000001;750005957;1179
48.8619267524, 2.33997541495;"{""type"": ""Point"", ""coordinates"": [2.339975414952829, 48.86192675236867]}";750002403;147;;;;1;160.80999756;N;O;;N;147;147 RUE SAINT-HONORE;750000001;750005584;1634
48.8631168115, 2.33823045166;"{""type"": ""Point"", ""coordinates"": [2.338230451657433, 48.86311681153035]}";750002887;6;;;;1;249.27000427;O;O;;N;6;6 PL DE VALOIS;750000001;750005516;1651
48.8711520925, 2.33955717151;"{""type"": ""Point"", ""coordinates"": [2.339557171511346, 48.87115209245965]}";750005527;95;;;;2;72.41999817;O;O;;N;95;95 RUE DE RICHELIEU;750000002;750005602;1696
48.8709772875, 2.33587545847;"{""type"": ""Point"", ""coordinates"": [2.335875458472208, 48.87097728754789]}";750003803;29;;;;2;89.75;O;O;;N;29;29 RUE DE CHOISEUL;750000002;750005912;1816
48.8668319878, 2.33734879222;"{""type"": ""Point"", ""coordinates"": [2.337348792215461, 48.86683198783169]}";750005506;57;;;;2;70.66999817;N;O;;N;57;57 RUE DE RICHELIEU;750000002;750005602;1867
48.8645773139, 2.33832062429;"{""type"": ""Point"", ""coordinates"": [2.33832062429188, 48.864577313884816]}";750002861;154;;;;1;249.1499939;N;O;;N;154;154 GAL DE VALOIS;750000001;750005513;2238
48.8679236522, 2.34383812724;"{""type"": ""Point"", ""coordinates"": [2.343838127244987, 48.86792365217119]}";750004818;122;;;;2;286.17001343;O;O;;N;122;122 RUE MONTMARTRE;750000002;750005645;2240
48.8615648818, 2.34127260277;"{""type"": ""Point"", ""coordinates"": [2.341272602766773, 48.86156488175775]}";750001150;24;;;;1;252.08999634;O;O;;N;24;24 RUE DU LOUVRE;750000001;750005478;7058
48.8667415132, 2.33971213439;"{""type"": ""Point"", ""coordinates"": [2.339712134393742, 48.866741513209746]}";750006279;31;;;;2;70.87999725;N;O;;N;31;31 GAL VIVIENNE;750000002;750005502;7590
48.8661159686, 2.34335168018;"{""type"": ""Point"", ""coordinates"": [2.343351680182089, 48.8661159685978]}";750004513;31;;;;2;71.01999664;N;O;;N;31;31 RUE DU LOUVRE;750000002;750005478;7591
48.8652882061, 2.33657047474;"{""type"": ""Point"", ""coordinates"": [2.336570474735896, 48.86528820614924]}";750001937;33;;;;1;70.43000031;N;O;;N;33;33 RUE DE RICHELIEU;750000001;750005602;42609
48.8690364734, 2.33665986524;"{""type"": ""Point"", ""coordinates"": [2.336659865241959, 48.86903647340218]}";750004193;1;;;;2;85.44999695;O;O;;N;1;1 RUE DE GRAMONT;750000002;750005807;41782
48.8705365235, 2.33912035596;"{""type"": ""Point"", ""coordinates"": [2.3391203559553793, 48.87053652348165]}";750005915;29;;;;2;163.99000549;O;O;;N;29;29 RUE SAINT-MARC;750000002;750005589;42174
48.8671798475, 2.33937810068;"{""type"": ""Point"", ""coordinates"": [2.339378100676735, 48.86717984754783]}";750006328;70;;;;2;338.8500061;N;O;;N;70;70 GAL VIVIENNE;750000002;750005502;42259
48.8683794551, 2.33511297342;"{""type"": ""Point"", ""coordinates"": [2.3351129734213663, 48.86837945514225]}";750004683;1;;;;2;70.08000183;O;O;;N;1;1 RUE MONSIGNY;750000002;750005639;42557
48.8649562646, 2.33852441145;"{""type"": ""Point"", ""coordinates"": [2.338524411451402, 48.86495626456721]}";750002854;140;;;;1;251.86000061;N;O;;N;140;140 GAL DE VALOIS;750000001;750005513;52291
48.866041066, 2.33815000612;"{""type"": ""Point"", ""coordinates"": [2.338150006118735, 48.866041066018994]}";750000147;86;;;;1;340.01998901;N;O;;N;86;86 GAL DE BEAUJOLAIS;750000001;750006026;52390
48.8684538086, 2.3340670284;"{""type"": ""Point"", ""coordinates"": [2.334067028403156, 48.86845380862892]}";750004179;9;;;;2;69.72000122;N;O;;N;9;9 RUE GAILLON;750000002;750005859;52496
48.8689310765, 2.33714065365;"{""type"": ""Point"", ""coordinates"": [2.337140653654475, 48.86893107650042]}";750005605;10;;;;2;359.91000366;N;O;;N;10;10 RUE SAINT-AUGUSTIN;750000002;750005572;52497
48.8679370161, 2.33553583454;"{""type"": ""Point"", ""coordinates"": [2.335535834536017, 48.86793701607277]}";750003770;44;;;;2;251.57000732;N;O;;N;44;44 PAS CHOISEUL;750000002;750005911;52939
48.8676043735, 2.33536777049;"{""type"": ""Point"", ""coordinates"": [2.335367770487715, 48.86760437349976]}";750003760;24;;;;2;251.57000732;N;O;;N;24;24 PAS CHOISEUL;750000002;750005911;49600
48.8670504206, 2.33746479526;"{""type"": ""Point"", ""coordinates"": [2.337464795260343, 48.86705042061405]}";750005508;61;;;;2;70.69000244;N;O;;N;61;61 RUE DE RICHELIEU;750000002;750005602;49744
48.8643897257, 2.34133851631;"{""type"": ""Point"", ""coordinates"": [2.341338516312133, 48.864389725707554]}";750000495;36;;;;1;325.05999756;N;O;;N;36;36 RUE COQUILLIERE;750000001;750005879;53369
48.8677003183, 2.33475248068;"{""type"": ""Point"", ""coordinates"": [2.33475248067569, 48.86770031829952]}";750004660;2;;;;2;340.17999268;O;O;;N;2;2 RUE MARSOLLIER;750000002;750005714;9692
48.863514068, 2.34033980231;"{""type"": ""Point"", ""coordinates"": [2.3403398023109, 48.86351406797557]}";750000444;10;;;;1;340.52999878;O;O;;N;10;10 RUE DU COLONEL DRIANT;750000001;750005957;5249
48.869822182, 2.34092493649;"{""type"": ""Point"", ""coordinates"": [2.340924936487712, 48.869822181971664]}";750003448;12;;;;2;342.76998901;O;O;;N;12;12 PL DE LA BOURSE;750000002;750005955;5278
48.8665289065, 2.34031656022;"{""type"": ""Point"", ""coordinates"": [2.340316560218578, 48.86652890647383]}";750157448;4;;;;2;344.58999634;O;O;;N;4;4 PAS DES PETITS PERES;750000002;750006623;5307
48.8661512726, 2.33909165325;"{""type"": ""Point"", ""coordinates"": [2.339091653250841, 48.86615127257549]}";750157890;1;;;;1;27.12000084;O;O;;N;1;1 PAS DES DEUX PAVILLONS;750000001;750005866;6083
48.8688242374, 2.33771563196;"{""type"": ""Point"", ""coordinates"": [2.337715631962725, 48.86882423741799]}";750005585;5;;;;2;179.44999695;N;O;;N;5;5 RUE SAINT-AUGUSTIN;750000002;750005572;27402
48.8699867258, 2.33863746421;"{""type"": ""Point"", ""coordinates"": [2.338637464212603, 48.869986725788614]}";750164008;85;;P;;2;165.49000549;N;O;;N;85 P;85 P RUE DE RICHELIEU;750000002;750005602;27443
48.867980712, 2.3347574841;"{""type"": ""Point"", ""coordinates"": [2.334757484103586, 48.86798071201017]}";750004665;12;;;;2;250.1499939;N;O;;N;12;12 RUE MARSOLLIER;750000002;750005714;27468
48.8670568649, 2.33511879066;"{""type"": ""Point"", ""coordinates"": [2.335118790659828, 48.867056864855705]}";750001591;9;;;;1;70.51000214;O;O;;N;9;9 RUE DES MOULINS;750000001;750005689;31892
48.8636293404, 2.33444308278;"{""type"": ""Point"", ""coordinates"": [2.334443082776538, 48.86362934044041]}";750002414;167;;;;1;143.07000732;O;O;;N;167;167 RUE SAINT-HONORE;750000001;750005584;26813
48.8664016915, 2.33761336592;"{""type"": ""Point"", ""coordinates"": [2.337613365924614, 48.86640169150366]}";750000178;26;;;;1;340.07000732;O;O;;N;26;26 RUE DE BEAUJOLAIS;750000001;750006029;32294
48.8681530318, 2.33555927367;"{""type"": ""Point"", ""coordinates"": [2.335559273667735, 48.86815303179238]}";750003730;55;;;;2;71.56999969;N;O;;N;55;55 PAS CHOISEUL;750000002;750005911;32371
48.8672493044, 2.34354182925;"{""type"": ""Point"", ""coordinates"": [2.343541829251655, 48.86724930442869]}";750004583;31;;;;2;30.86000061;N;O;;N;31;31 RUE DU MAIL;750000002;750005784;32643
48.8704534143, 2.33973728325;"{""type"": ""Point"", ""coordinates"": [2.339737283251389, 48.87045341425305]}";750005933;25;;;;2;171.47000122;N;O;;N;25;25 RUE SAINT-MARC;750000002;750005589;29762
48.8684451562, 2.34360809955;"{""type"": ""Point"", ""coordinates"": [2.343608099547902, 48.86844515624162]}";750004807;134;;;;2;286.19000244;N;O;;N;134;134 RUE MONTMARTRE;750000002;750005645;29802
48.8649818667, 2.3359069573;"{""type"": ""Point"", ""coordinates"": [2.335906957300189, 48.86498186673621]}";750001289;14;;;;1;229.88999939;N;O;;N;14;14 RUE MOLIERE;750000001;750005634;48105
48.861958035, 2.338088592;"{""type"": ""Point"", ""coordinates"": [2.338088592002058, 48.861958035029936]}";750002066;166;;;;1;333.83999634;N;O;;N;166;166 RUE DE RIVOLI;750000001;750005604;48163
48.871556906, 2.33594833675;"{""type"": ""Point"", ""coordinates"": [2.335948336750571, 48.87155690602822]}";750042053;2;;;;9;284.82998657;O;O;;N;2;2 RUE DES ITALIENS;750000009;750004662;48195
48.8682184032, 2.33649533982;"{""type"": ""Point"", ""coordinates"": [2.336495339820237, 48.86821840323681]}";750005809;58;b;;;2;254.16000366;N;O;;N;58b;58b RUE SAINTE-ANNE;750000002;750005530;46013
48.8679331526, 2.33622939577;"{""type"": ""Point"", ""coordinates"": [2.336229395769193, 48.86793315256147]}";750005788;59;;;;2;74.11000061;N;O;;N;59;59 RUE SAINTE-ANNE;750000002;750005530;46313
48.8681866557, 2.33557631194;"{""type"": ""Point"", ""coordinates"": [2.335576311936578, 48.868186655695744]}";750003731;57;;;;2;71.61000061;N;O;;N;57;57 PAS CHOISEUL;750000002;750005911;45889
48.866805216, 2.34243125274;"{""type"": ""Point"", ""coordinates"": [2.342431252744707, 48.86680521597532]}";750004575;15;;;;2;30.02000046;N;O;;N;15;15 RUE DU MAIL;750000002;750005784;50529
48.8704697587, 2.34043687902;"{""type"": ""Point"", ""coordinates"": [2.340436879015755, 48.87046975867407]}";750005942;16;;;;2;351.3999939;N;O;;N;16;16 RUE SAINT-MARC;750000002;750005589;56091
48.8709853375, 2.33325654337;"{""type"": ""Point"", ""coordinates"": [2.333256543367, 48.870985337506454]}";750040523;6;;;;9;14.31000042;N;O;;N;6;6 BD DES CAPUCINES;750000009;750005991;56125
48.8701396941, 2.33496759101;"{""type"": ""Point"", ""coordinates"": [2.33496759101211, 48.87013969410605]}";750004294;11;;;;2;180.19000244;O;O;;N;11;11 RUE DE HANOVRE;750000002;750005824;56149
48.8714290141, 2.33960221363;"{""type"": ""Point"", ""coordinates"": [2.339602213627302, 48.871429014066074]}";750005386;32;;;;2;250.0;N;O;;N;32;32 PAS DES PRINCES;750000002;750005624;56203
48.8654838939, 2.337318524;"{""type"": ""Point"", ""coordinates"": [2.337318523998674, 48.86548389392154]}";750001427;49;;;;1;70.05000305;N;O;;N;49;49 GAL DE MONTPENSIER;750000001;750005648;55791
48.870584771, 2.34258448036;"{""type"": ""Point"", ""coordinates"": [2.342584480359696, 48.87058477101766]}";750004735;153;;;;2;70.91999817;N;O;;N;153;153 RUE MONTMARTRE;750000002;750005645;55908
48.8667350272, 2.34109452127;"{""type"": ""Point"", ""coordinates"": [2.341094521266716, 48.86673502720666]}";750004966;1;;;;2;75.05999756;O;O;;N;1;1 RUE NOTRE-DAME DES VICTOIRES;750000002;750005703;35777
48.866528326, 2.33454248102;"{""type"": ""Point"", ""coordinates"": [2.334542481020442, 48.86652832602443]}";750002753;20;;;;1;340.70001221;O;O;;N;20;20 RUE THERESE;750000001;750005543;35873
48.8711551117, 2.33624385049;"{""type"": ""Point"", ""coordinates"": [2.336243850489236, 48.871155111654076]}";750004313;21;;;;2;194.38999939;O;O;;N;21;21 BD DES ITALIENS;750000002;750005764;35930
48.8663678316, 2.33775937959;"{""type"": ""Point"", ""coordinates"": [2.337759379585616, 48.866367831577776]}";750000177;24;;;;1;340.61999512;N;O;;N;24;24 RUE DE BEAUJOLAIS;750000001;750006029;31663
48.8702885424, 2.33694790043;"{""type"": ""Point"", ""coordinates"": [2.336947900428099, 48.87028854237179]}";750004203;18;;;;2;265.32000700000003;O;O;N;N;18;18 RUE DE GRAMONT;750000002;750005807;31848
48.8669056416, 2.3364411017;"{""type"": ""Point"", ""coordinates"": [2.336441101698741, 48.86690564163616]}";750005212;24;;;;2;340.60998535;O;O;;N;24;24 RUE DES PETITS CHAMPS;750000002;750005659;35256
48.8641311899, 2.33652904822;"{""type"": ""Point"", ""coordinates"": [2.336529048223554, 48.86413118992189]}";750001481;235;;;;1;161.25999451;O;O;;N;235;235 PAS DE MONTPENSIER;750000001;750005649;35646
48.8691249228, 2.34353048875;"{""type"": ""Point"", ""coordinates"": [2.343530488745902, 48.86912492280232]}";750003944;20;;;;2;338.04998779;O;O;;N;20;20 RUE DU CROISSANT;750000002;750005890;31558
48.8673555176, 2.34423215274;"{""type"": ""Point"", ""coordinates"": [2.344232152739223, 48.867355517604786]}";750003866;2;;;;2;201.0;O;O;;N;2;2 RUE DE CLERY;750000002;750005915;33243
48.8626218415, 2.34089958967;"{""type"": ""Point"", ""coordinates"": [2.34089958967084, 48.86262184146458]}";750000927;18;;;;1;218.30999756;N;O;;N;18;18 RUE JEAN-JACQUES ROUSSEAU;750000001;750005774;33506
48.8680189401, 2.33549180273;"{""type"": ""Point"", ""coordinates"": [2.335491802727906, 48.86801894013833]}";750003726;47;;;;2;71.56999969;N;O;;N;47;47 PAS CHOISEUL;750000002;750005911;36863
48.8646286617, 2.33834870444;"{""type"": ""Point"", ""coordinates"": [2.338348704436098, 48.86462866170029]}";750002860;152;;;;1;250.44000244;N;O;;N;152;152 GAL DE VALOIS;750000001;750005513;36879
48.8631022599, 2.33455758891;"{""type"": ""Point"", ""coordinates"": [2.334557588912952, 48.86310225993716]}";750002072;178;;;;1;333.95999146;N;O;;N;178;178 RUE DE RIVOLI;750000001;750005604;33674
48.8683030239, 2.33685261951;"{""type"": ""Point"", ""coordinates"": [2.336852619506814, 48.86830302394136]}";750004501;5;;;;2;161.46000671;N;O;;N;5;5 RUE DE LOUVOIS;750000002;750005777;33835
48.8697170446, 2.34303477741;"{""type"": ""Point"", ""coordinates"": [2.343034777412181, 48.86971704460368]}";750004801;154;;;;2;286.66000366;N;O;;N;154;154 RUE MONTMARTRE;750000002;750005645;33994
48.8630338105, 2.33476723458;"{""type"": ""Point"", ""coordinates"": [2.334767234581636, 48.86303381054923]}";750002071;176;;;;1;333.92001343;N;O;;N;176;176 RUE DE RIVOLI;750000001;750005604;36539
48.8649327372, 2.34149232939;"{""type"": ""Point"", ""coordinates"": [2.3414923293917242, 48.86493273724064]}";750000845;13;;;;1;37.02999878;N;O;;N;13;13 RUE HEROLD;750000001;750005832;36673
48.8619825956, 2.33973232024;"{""type"": ""Point"", ""coordinates"": [2.339732320240977, 48.86198259555809]}";750002404;149;;;;1;160.80000305;O;O;;N;149;149 RUE SAINT-HONORE;750000001;750005584;12516
48.8679469198, 2.33691719226;"{""type"": ""Point"", ""coordinates"": [2.336917192256966, 48.86794691979701]}";750005433;2;;;;2;341.66000366;O;O;;N;2;2 RUE RAMEAU;750000002;750005594;23508
48.8666068586, 2.33993072682;"{""type"": ""Point"", ""coordinates"": [2.339930726824163, 48.86660685862389]}";750006296;6;;;;2;339.79000854;N;O;;N;6;6 GAL VIVIENNE;750000002;750005502;23520
48.871684065, 2.33648307758;"{""type"": ""Point"", ""coordinates"": [2.336483077577533, 48.87168406495818]}";750044196;1;;;;9;123.51000214;O;O;;N;1;1 RUE TAITBOUT;750000009;750006484;23831
48.8647934074, 2.33843621716;"{""type"": ""Point"", ""coordinates"": [2.338436217158054, 48.8647934074077]}";750002857;146;;;;1;254.80000305;N;O;;N;146;146 GAL DE VALOIS;750000001;750005513;23967
48.869886789, 2.34258680166;"{""type"": ""Point"", ""coordinates"": [2.3425868016638622, 48.869886789027525]}";750004995;54;;;;2;253.19999695;N;O;;N;54;54 RUE NOTRE-DAME DES VICTOIRES;750000002;750005703;24026
48.8649307256, 2.33851118874;"{""type"": ""Point"", ""coordinates"": [2.33851118873809, 48.86493072561257]}";750002816;141;;;;1;250.3500061;N;O;;N;141;141 GAL DE VALOIS;750000001;750005513;24464
48.8639024041, 2.33796239063;"{""type"": ""Point"", ""coordinates"": [2.337962390632331, 48.86390240409619]}";750002835;179;;;;1;250.47999573;O;O;;N;179;179 GAL DE VALOIS;750000001;750005513;31017
48.8698749217, 2.33360141644;"{""type"": ""Point"", ""coordinates"": [2.333601416440335, 48.86987492166109]}";750004492;22;;;;2;238.71000671;N;O;;N;22;22 RUE LOUIS LE GRAND;750000002;750005775;30832
48.8705024103, 2.34233350496;"{""type"": ""Point"", ""coordinates"": [2.342333504960836, 48.87050241025643]}";750004713;9;;;;2;170.44999695;N;O;;N;9;9 GAL MONTMARTRE;750000002;750005644;29986
48.8639260645, 2.33797058359;"{""type"": ""Point"", ""coordinates"": [2.337970583585404, 48.86392606445993]}";750002872;178;;;;1;251.57000732;N;O;;N;178;178 GAL DE VALOIS;750000001;750005513;30069
48.8632575802, 2.34025619285;"{""type"": ""Point"", ""coordinates"": [2.340256192851328, 48.863257580151895]}";750000275;4;t;;;1;215.94000244;N;O;;N;4t;4t RUE DU BOULOI;750000001;750005949;16254
48.8682746033, 2.33748702506;"{""type"": ""Point"", ""coordinates"": [2.337487025060478, 48.86827460334094]}";750004506;6;;;;2;341.60998535;N;O;;N;6;6 RUE DE LOUVOIS;750000002;750005777;26243
48.8670238114, 2.34423534965;"{""type"": ""Point"", ""coordinates"": [2.344235349651647, 48.867023811436454]}";750004820;92;;;;2;286.30999756;N;O;;N;92;92 RUE MONTMARTRE;750000002;750005645;26450
48.8659930417, 2.3383513321;"{""type"": ""Point"", ""coordinates"": [2.338351332104497, 48.86599304167058]}";750000139;91;;;;1;340.26000977;N;O;;N;91;91 GAL DE BEAUJOLAIS;750000001;750006026;29507
48.8718394072, 2.34197233624;"{""type"": ""Point"", ""coordinates"": [2.34197233624434, 48.87183940717185]}";750043139;10;;;;9;346.17001343;N;O;;N;10;10 BD MONTMARTRE;750000009;750005642;29707
48.8703100522, 2.33709358613;"{""type"": ""Point"", ""coordinates"": [2.3370935861335402, 48.870310052154366]}";750004274;5;;;;2;164.949997;O;O;O;N;5;5 RUE GRETRY;750000002;750005819;29000
48.8660022975, 2.33546625117;"{""type"": ""Point"", ""coordinates"": [2.3354662511668263, 48.86600229746973]}";750002289;14;;;;1;251.55000305;N;O;;N;14;14 RUE SAINTE-ANNE;750000001;750005530;29055
48.863514471, 2.33467481444;"{""type"": ""Point"", ""coordinates"": [2.334674814439756, 48.86351447104081]}";750002413;165;;;;1;143.05999756;N;O;;N;165;165 RUE SAINT-HONORE;750000001;750005584;25621
48.8700963579, 2.33588979158;"{""type"": ""Point"", ""coordinates"": [2.335889791582868, 48.87009635785301]}";750003797;17;;;;2;89.58999634;O;O;;N;17;17 RUE DE CHOISEUL;750000002;750005912;25716
48.8625234274, 2.33977405723;"{""type"": ""Point"", ""coordinates"": [2.339774057225435, 48.86252342735548]}";750001688;5;;;;1;150.49000549;N;O;;N;5;5 RUE DU PELICAN;750000001;750005682;25972
48.8667055951, 2.33567183994;"{""type"": ""Point"", ""coordinates"": [2.33567183994117, 48.866705595073505]}";750002281;45;;;;1;71.55000305;N;O;;N;45;45 RUE SAINTE-ANNE;750000001;750005530;25999
48.8677079444, 2.3338356135;"{""type"": ""Point"", ""coordinates"": [2.333835613497943, 48.86770794440591]}";750004183;2;;;;2;249.22000122;O;O;;N;2;2 RUE GAILLON;750000002;750005859;26019
48.8619256545, 2.34052229209;"{""type"": ""Point"", ""coordinates"": [2.340522292088875, 48.861925654517634]}";750002509;144;;;;1;338.95001221;N;O;;N;144;144 RUE SAINT-HONORE;750000001;750005584;4560
48.8698238796, 2.33243134457;"{""type"": ""Point"", ""coordinates"": [2.332431344574081, 48.86982387958219]}";750005000;49;;;;2;105.81999969;O;O;;N;49;49 AV DE L'OPERA;750000002;750005929;2594
48.8655909878, 2.33737795354;"{""type"": ""Point"", ""coordinates"": [2.337377953535038, 48.8655909878464]}";750001429;53;;;;1;71.16999817;N;O;;N;53;53 GAL DE MONTPENSIER;750000001;750005648;2638
48.8657109633, 2.33667692679;"{""type"": ""Point"", ""coordinates"": [2.336676926786376, 48.86571096331904]}";750001940;39;;;;1;49.34999847;O;O;;N;39;39 RUE DE RICHELIEU;750000001;750005602;3020
48.8663622877, 2.3373024315;"{""type"": ""Point"", ""coordinates"": [2.337302431495731, 48.86636228772259]}";750001972;52;;;;1;250.86000061;N;O;;N;52;52 RUE DE RICHELIEU;750000001;750005602;3178
48.86681159, 2.33985248323;"{""type"": ""Point"", ""coordinates"": [2.339852483233578, 48.86681158996317]}";750006311;36;;;;2;251.13999939;N;O;;N;36;36 GAL VIVIENNE;750000002;750005502;4515
48.8713613546, 2.33830362769;"{""type"": ""Point"", ""coordinates"": [2.338303627691825, 48.8713613545849]}";750004108;18;;;;2;254.91999817;N;O;;N;18;18 RUE FAVART;750000002;750005802;406
48.8681773781, 2.33850474366;"{""type"": ""Point"", ""coordinates"": [2.338504743656146, 48.86817737807752]}";750003917;12;;;;2;341.29000854;O;O;;N;12;12 RUE COLBERT;750000002;750005838;666
48.8629363949, 2.34121965954;"{""type"": ""Point"", ""coordinates"": [2.341219659535715, 48.86293639493217]}";750000906;27;;;;1;38.13000107;N;O;;N;27;27 RUE JEAN-JACQUES ROUSSEAU;750000001;750005774;3620
48.862819731, 2.34029710729;"{""type"": ""Point"", ""coordinates"": [2.340297107286662, 48.86281973103731]}";750002999;18;;;;1;332.26000977;N;O;;N;18;18 GAL VERO-DODAT;750000001;750005489;4359
48.8645037679, 2.33632636156;"{""type"": ""Point"", ""coordinates"": [2.336326361560154, 48.864503767929186]}";750001952;14;;;;1;250.77000427;N;O;;N;14;14 RUE DE RICHELIEU;750000001;750005602;12980
48.8647458347, 2.33851399037;"{""type"": ""Point"", ""coordinates"": [2.3385139903695062, 48.864745834706085]}";750002900;23;;;;1;70.47000122;N;O;;N;23;23 RUE DE VALOIS;750000001;750005517;12047
48.8676565292, 2.33331816168;"{""type"": ""Point"", ""coordinates"": [2.333318161680823, 48.86765652924539]}";750003998;2;;;;2;43.11000061;O;O;;N;2;2 RUE DANIELLE CASANOVA;750000002;750005896;12048
48.8650975843, 2.33711841136;"{""type"": ""Point"", ""coordinates"": [2.337118411356863, 48.86509758434866]}";750001420;35;;;;1;70.94999695;N;O;;N;35;35 GAL DE MONTPENSIER;750000001;750005648;6355
48.8667259348, 2.34355785929;"{""type"": ""Point"", ""coordinates"": [2.343557859292573, 48.86672593483058]}";750003082;25;;;;2;29.80999947;O;O;;N;25;25 RUE D'ABOUKIR;750000002;750006088;6579
48.8652055274, 2.33511284969;"{""type"": ""Point"", ""coordinates"": [2.335112849690946, 48.865205527363685]}";750002284;4;;;;1;254.50999451;N;O;;N;4;4 RUE SAINTE-ANNE;750000001;750005530;6649
48.8700406608, 2.33921938463;"{""type"": ""Point"", ""coordinates"": [2.339219384627083, 48.87004066080729]}";750005544;84;;;;2;252.47000122;N;O;;N;84;84 RUE DE RICHELIEU;750000002;750005602;6773
48.8695132695, 2.33636050881;"{""type"": ""Point"", ""coordinates"": [2.336360508811521, 48.86951326951218]}";750005394;19;;;;2;164.17999268;N;O;;N;19;19 RUE DU QUATRE SEPTEMBRE;750000002;750005669;6798
48.8702423328, 2.33199982784;"{""type"": ""Point"", ""coordinates"": [2.331999827842499, 48.87024233276079]}";750005029;25;;;;2;56.63000107;O;O;;N;25;25 RUE DE LA PAIX;750000002;750005748;6870
48.8652305386, 2.33877467677;"{""type"": ""Point"", ""coordinates"": [2.338774676768178, 48.865230538626705]}";750002904;31;;;;1;70.43000031;N;O;;N;31;31 RUE DE VALOIS;750000001;750005517;11587
48.8658351579, 2.33750168163;"{""type"": ""Point"", ""coordinates"": [2.3375016816262653, 48.86583515791038]}";750001472;62;;;;1;65.16999817;N;O;;N;62;62 GAL DE MONTPENSIER;750000001;750005648;11588
48.8681692997, 2.33565319354;"{""type"": ""Point"", ""coordinates"": [2.33565319354188, 48.868169299742384]}";750003777;58;;;;2;251.57000732;N;O;;N;58;58 PAS CHOISEUL;750000002;750005911;16802
48.8699967695, 2.33380506871;"{""type"": ""Point"", ""coordinates"": [2.333805068706738, 48.86999676952066]}";750005390;33;;;;2;164.16999817;O;O;;N;33;33 RUE DU QUATRE SEPTEMBRE;750000002;750005669;13682
48.8633129294, 2.34221383978;"{""type"": ""Point"", ""coordinates"": [2.342213839782518, 48.86331292942003]}";750001152;42;;;;1;251.00999451;O;O;;N;42;42 RUE DU LOUVRE;750000001;750005478;18885
48.8636290503, 2.34126051256;"{""type"": ""Point"", ""coordinates"": [2.341260512560692, 48.86362905027537]}";750000721;4;;;;1;161.00999451;O;O;;N;4;4 COUR DES FERMES;750000001;750005804;24218
48.8652555869, 2.33720011248;"{""type"": ""Point"", ""coordinates"": [2.337200112476202, 48.8652555869027]}";750001423;41;;;;1;67.54000092;N;O;;N;41;41 GAL DE MONTPENSIER;750000001;750005648;24219
48.8646316735, 2.34020285037;"{""type"": ""Point"", ""coordinates"": [2.340202850371754, 48.8646316734568]}";750000525;37;;;;1;69.0;N;O;;N;37;37 RUE CROIX DES PETITS CHAMPS;750000001;750005891;24465
48.8652540118, 2.33868389775;"{""type"": ""Point"", ""coordinates"": [2.338683897747374, 48.86525401180414]}";750002810;129;;;;1;250.52000427;N;O;;N;129;129 GAL DE VALOIS;750000001;750005513;14913
48.8659069094, 2.33523387668;"{""type"": ""Point"", ""coordinates"": [2.335233876678885, 48.86590690942319]}";750002273;9;;;;1;71.66000366;N;O;;N;9;9 RUE SAINTE-ANNE;750000001;750005530;15024
48.8649558584, 2.33565995988;"{""type"": ""Point"", ""coordinates"": [2.335659959880262, 48.8649558583548]}";750001272;7;;;;1;50.04000092;N;O;;N;7;7 RUE MOLIERE;750000001;750005634;15417
48.8648498089, 2.33650941474;"{""type"": ""Point"", ""coordinates"": [2.336509414744986, 48.8648498089238]}";750001956;22;;;;1;250.72999573;N;O;;N;22;22 RUE DE RICHELIEU;750000001;750005602;17582
