Geometry X Y;Geometry;N_SQ_AD;N_VOIE;C_SUF1;C_SUF2;C_SUF3;C_AR;A_NVOIE;B_ANGLE;B_OFFSTDF;B_AFFSTDF;B_HORS75;L_NVOIE;L_ADR;N_SQ_AR;N_SQ_VO;OBJECTID
48.8650747249, 2.33710901974;"{""type"": ""Point"", ""coordinates"": [2.337109019743138, 48.8650747249239]}";750001458;34;;;;1;71.05000305;N;O;;N;34;34 GAL DE MONTPENSIER;750000001;750005648;23808
48.8706317555, 2.33917033553;"{""type"": ""Point"", ""coordinates"": [2.339170335525798, 48.870631755450745]}";750005935;28;;;;2;343.76998901;O;O;;N;28;28 RUE SAINT-MARC;750000002;750005589;23928
48.8659995269, 2.33759059711;"{""type"": ""Point"", ""coordinates"": [2.337590597114035, 48.86599952690534]}";750001475;68;;;;1;71.05999756;N;O;;N;68;68 GAL DE MONTPENSIER;750000001;750005648;21908
48.8644480938, 2.33667917094;"{""type"": ""Point"", ""coordinates"": [2.336679170944142, 48.864448093759904]}";750001535;12;;;;1;251.25;N;O;;N;12;12 RUE DE MONTPENSIER;750000001;750005684;22032
48.870222791, 2.34090700092;"{""type"": ""Point"", ""coordinates"": [2.340907000924519, 48.870222791037904]}";750006366;28;;;;2;250.24000549;N;O;;N;28;28 RUE VIVIENNE;750000002;750006607;22103
48.8675876059, 2.33437988899;"{""type"": ""Point"", ""coordinates"": [2.334379888988062, 48.86758760591083]}";750004651;3;;;;2;159.94000244;N;O;;N;3;3 RUE MARSOLLIER;750000002;750005714;22130
48.8659248659, 2.33930093111;"{""type"": ""Point"", ""coordinates"": [2.3393009311103192, 48.86592486594578]}";750002926;48;;;;1;249.66000366;N;O;;N;48;48 RUE DE VALOIS;750000001;750005517;22332
48.8640143829, 2.33650846817;"{""type"": ""Point"", ""coordinates"": [2.336508468165369, 48.86401438291185]}";750001500;226;;;;1;341.25;N;O;;N;226;226 PER DE MONTPENSIER;750000001;750005683;22461
48.8629939007, 2.33810040424;"{""type"": ""Point"", ""coordinates"": [2.338100404241464, 48.86299390073294]}";750002886;4;;;;1;151.74000549;N;O;;N;4;4 PL DE VALOIS;750000001;750005516;22700
48.8636170219, 2.34072242042;"{""type"": ""Point"", ""coordinates"": [2.340722420423274, 48.86361702186593]}";750000262;11;;;;1;37.16999817;N;O;;N;11;11 RUE DU BOULOI;750000001;750005949;6354
48.8665075801, 2.34043449285;"{""type"": ""Point"", ""coordinates"": [2.340434492852552, 48.866507580061565]}";750005226;2;;;;2;344.70001221;O;O;;N;2;2 PAS DES PETITS PERES;750000002;750006623;6679
48.8694569703, 2.33471530929;"{""type"": ""Point"", ""coordinates"": [2.334715309293139, 48.86945697034284]}";750004408;6;;;;2;253.71000671;N;O;;N;6;6 RUE DE LA MICHODIERE;750000002;750005723;5250
48.8647485622, 2.34136144675;"{""type"": ""Point"", ""coordinates"": [2.341361446753514, 48.864748562240976]}";750000856;8;;;;1;216.66999817;N;O;;N;8;8 RUE HEROLD;750000001;750005832;5350
48.8678535557, 2.33808775339;"{""type"": ""Point"", ""coordinates"": [2.338087753392663, 48.86785355574056]}";750005559;58;;;;2;250.80000305;O;O;;N;58;58 RUE DE RICHELIEU;750000002;750005602;5528
48.8678121932, 2.33514257485;"{""type"": ""Point"", ""coordinates"": [2.335142574852715, 48.86781219321486]}";750003949;9;;;;2;70.05999756;N;O;;N;9;9 RUE DALAYRAC;750000002;750005894;3522
48.868933057, 2.33656362758;"{""type"": ""Point"", ""coordinates"": [2.336563627576552, 48.86893305701283]}";750005593;14;;;;2;359.30999756;O;O;;N;14;14 RUE SAINT-AUGUSTIN;750000002;750005572;3524
48.8663128586, 2.34047710277;"{""type"": ""Point"", ""coordinates"": [2.340477102765247, 48.86631285860667]}";750005229;1;;;;2;73.69000244;O;O;;N;1;1 PL DES PETITS PERES;750000002;750005660;4167
48.8695219397, 2.33991703558;"{""type"": ""Point"", ""coordinates"": [2.3399170355775922, 48.869521939667706]}";750003459;4;;;;2;342.48001099;N;O;;N;4;4 RUE DE LA BOURSE;750000002;750005956;885
48.8708738527, 2.34144718413;"{""type"": ""Point"", ""coordinates"": [2.34144718412699, 48.87087385271888]}";750004119;30;;;;2;258.92999268;O;O;;N;30;30 GAL FEYDEAU;750000002;750005806;1181
48.870516769, 2.34287810658;"{""type"": ""Point"", ""coordinates"": [2.342878106584836, 48.87051676900413]}";750004794;166;;;;2;258.5;N;O;;N;166;166 RUE MONTMARTRE;750000002;750005645;1514
48.8663679167, 2.33550228102;"{""type"": ""Point"", ""coordinates"": [2.335502281016657, 48.866367916666746]}";750002277;37;b;;;1;70.12999725;N;O;;N;37b;37b RUE SAINTE-ANNE;750000001;750005530;1592
48.8683357565, 2.3357372956;"{""type"": ""Point"", ""coordinates"": [2.335737295596466, 48.868335756516764]}";750003782;68;;;;2;251.61000061;N;O;;N;68;68 PAS CHOISEUL;750000002;750005911;1594
48.8674464504, 2.33460117203;"{""type"": ""Point"", ""coordinates"": [2.334601172030779, 48.86744645038842]}";750004670;1;;;;2;70.23000336;O;O;;N;1;1 RUE MEHUL;750000002;750005708;31584
48.8634923159, 2.33858788275;"{""type"": ""Point"", ""coordinates"": [2.338587882754367, 48.86349231594602]}";750000238;15;;;;1;67.98000336;N;O;;N;15;15 RUE DES BONS ENFANTS;750000001;750005945;31700
48.8654760553, 2.33635994748;"{""type"": ""Point"", ""coordinates"": [2.336359947480563, 48.86547605531251]}";750001281;23;;;;1;50.02000046;N;O;;N;23;23 RUE MOLIERE;750000001;750005634;31779
48.864064372, 2.33804500714;"{""type"": ""Point"", ""coordinates"": [2.33804500714051, 48.864064372025695]}";750002832;173;;;;1;249.91999817;N;O;;N;173;173 GAL DE VALOIS;750000001;750005513;35164
48.8706387826, 2.33434512961;"{""type"": ""Point"", ""coordinates"": [2.334345129607279, 48.87063878255843]}";750004497;32;;;;2;238.13999939;N;O;;N;32;32 RUE LOUIS LE GRAND;750000002;750005775;36162
48.871470579, 2.34214234887;"{""type"": ""Point"", ""coordinates"": [2.342142348874555, 48.87147057897954]}";750004706;7;;;;2;166.53999329;N;O;;N;7;7 BD MONTMARTRE;750000002;750005642;16531
48.8674057225, 2.3352673154;"{""type"": ""Point"", ""coordinates"": [2.335267315403036, 48.867405722537676]}";750003754;12;;;;2;251.61000061;N;O;;N;12;12 PAS CHOISEUL;750000002;750005911;13739
48.8684771058, 2.34334977406;"{""type"": ""Point"", ""coordinates"": [2.34334977406434, 48.86847710578433]}";750004752;111;;;;2;106.41999817;O;O;;N;111;111 RUE MONTMARTRE;750000002;750005645;13778
48.8676898036, 2.33532251205;"{""type"": ""Point"", ""coordinates"": [2.335322512045441, 48.867689803552764]}";750003716;27;;;;2;64.22000122;N;O;;N;27;27 PAS CHOISEUL;750000002;750005911;14174
48.8716441698, 2.3390932212;"{""type"": ""Point"", ""coordinates"": [2.339093221201424, 48.87164416976506]}";750004321;5;;;;2;194.67999268;N;O;;N;5;5 BD DES ITALIENS;750000002;750005764;14196
