Nom,Métier,Rue,Numéro,X,Y,de,à
Gaulandeau,cafés,Rue de la Michodière,4,2.33461788028133,48.8692371321947,1890,1890
Gaut er (C.) et Cie,café torréfié,Rue Vivienne,6,2.3391912707386697,48.867135517272,1843,1843
Gauthé,café de la Mairie,Rue de la Banque,5,2.3400711194194104,48.8665135721949,1914,1914
Gauthé (F.),café limonadier,Rue Vivienne,18,2.33978364406944,48.8682198924153,1901,1901
Gautier (C.) et Cie,café torréfié,Rue Vivienne,6,2.3391912707386697,48.867135517272,1844,1847
Georges,café brasserie,Rue de Richelieu,46,2.33715453469379,48.866080662706395,1886,1887
Gibert et Halewele,café du Cercle,Boulevard Montmartre,14,2.34156830486585,48.87190508193051,1851,1851
Gibert et Hatewele,café du Cercle,Boulevard Montmartre,14,2.34156830486585,48.87190508193051,1852,1857
Gien (Etienne),café Riche,Boulevard des Italiens,16,2.3378541112830096,48.8717780036559,1914,1914
Gillet,café de la Régence,Rue Saint Honoré,161,2.33501351504998,48.863346437118,1857,1857
Girard,café limonadier,Rue Sainte Anne,11,2.33530239497416,48.86604305152571,1900,1901
Giraud (Louis),café de Suède,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1896,1901
Girion,café brasserie,Rue Vivienne,27,2.3400947666661,48.8690997783828,1897,1901
Gorand (A),café du Théâtre Français,Rue de Richelieu,6,2.3359555501097997,48.863703466297395,1854,1855
Gorand (A),café du Théâtre de la République,Rue de Richelieu,6,2.3359555501097997,48.863703466297395,1850,1852
Gorand (A.),café du Théâtre Français,Rue de Richelieu,6,2.3359555501097997,48.863703466297395,1858,1858
Gorand ainé,café du Théâtre Français,Rue de Richelieu,6,2.3359555501097997,48.863703466297395,1846,1846
Gorand aîné,café du Théâtre Français,Rue de Richelieu,6,2.3359555501097997,48.863703466297395,1844,1847
Gorand aîné,café du Théâtre de la République,Rue de Richelieu,6,2.3359555501097997,48.863703466297395,1849,1849
Grienet (Vve Eug.),café de Francfort,Rue Coquillière,34,2.34147099721944,48.8643286597879,1871,1871
Grienet (yre Eug.),café de Francfort,Rue Coquillière,34,2.34147099721944,48.8643286597879,1870,1870
Gringoire (F.),café restaurant de la Pointe Montmartre,Boulevard Montmartre,1,2.3428170122307597,48.87136756754379,1896,1896
Guirand (L.),café du Helder,Rue Saint Honoré,151,2.33880208798631,48.86221499096621,1864,1864
Guérard,café du Helder,Boulevard des Italiens,29,2.33508255787461,48.8709525865514,1857,1857
Hallot,café brasserie,Rue Coquillière,31,2.34141118008689,48.8642413243104,1887,1890
Hamelin (L.),café des Variétés,Boulevard Montmartre,9,2.3420477422575297,48.87148560227801,1873,1875
Hardy (M16),café,Rue du Mail,13,2.3422616355559303,48.86674116980821,1888,1888
Hardy (Mlle),café,Rue du Mail,13,2.3422616355559303,48.86674116980821,1890,1890
Hattner,café Mulhouse,Boulevard des Italiens,2,2.33877651070513,48.8719362971076,1845,1845
Hattner,café de Mulhouse,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1854,1854
Hennequin (Mme),café des Arcades,Place de la Bourse,11,2.34086982621725,48.868647074369704,1888,1894
Henricy,café estaminet,Boulevard Montmartre,21,2.34047362454313,48.871742177206,1862,1862
Henry,café brasserie,Rue de Richelieu,46,2.33715453469379,48.866080662706395,1885,1885
Hervieux (C.),café restaurant du Cardinal,Boulevard des Italiens,1,2.33980022831032,48.8717662905375,1883,1888
Hervieux (c.),café restaurant du Cardinal,Boulevard des Italiens,1,2.33980022831032,48.8717662905375,1881,1882
Hervy,cafés,Rue Saint Marc,21,2.3399608469171898,48.8704312850846,1874,1886
Hirsch (Léon),café de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1881,1884
Hirsch (Léon),café restaurant de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1885,1888
Hirth (Joseph),café brasserie de l'Union,Rue Neuve Saint Augustin,5,2.33771563196273,48.868824237418,1879,1879
Hirtzmann,café des Bouffes Parisiens,Rue Monsigny,6,2.33539936534366,48.8685308061459,1883,1884
Houdard,café du Danemark,Rue Saint Honoré,196,2.33796415217111,48.86262238569,1850,1854
Houdard (A.),café du Danemark,Rue Saint Honoré,196,2.33796415217111,48.86262238569,1846,1849
Houdard (Alexandre),café du Grand Balcon,Boulevard des Italiens,11,2.33795998769667,48.8714479414307,1870,1873
Houdard (Emile),café restaurant du Cardinal,Boulevard des Italiens,1,2.33980022831032,48.8717662905375,1870,1879
Houdard (Emile),café restaurant le Cardinal,Boulevard des Italiens,1,2.33980022831032,48.8717662905375,1876,1876
Houdard-Thuillier,café du Helder,Boulevard des Italiens,29,2.33508255787461,48.8709525865514,1859,1860
Hureau (D.),café brasserie,Rue de Richelieu,46,2.33715453469379,48.866080662706395,1882,1882
Hurth,café brasserie,Rue de Richelieu,10,2.33617084378992,48.86420475950379,1890,1890
Huzeau (D.),café brasserie,Rue de Richelieu,40,2.33703664147085,48.86585699554621,1881,1881
Héliot (Mme),café du Théâtre,Rue de Beaujolais,26,2.33761336592461,48.866401691503704,1914,1921
Héron,café des Bouffes,Rue Monsigny,8,2.33547610673995,48.8686699253222,1864,1879
Icros,café glacier Napolitain,Boulevard des Capucines,1,2.3339630975787102,48.87076285656671,1921,1921
Jallageas,cafés,Rue Coquillière,35,2.34110802543225,48.8643775056439,1901,1901
Jauziond,café estaminet,Rue du Mail,13,2.3422616355559303,48.86674116980821,1851,1861
Jauzioni),café estaminet,Rue du Mail,13,2.3422616355559303,48.86674116980821,1859,1859
Jay,café de Suède,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1886,1886
Jeannin (N.) et L. Schmit,café brasserie,Rue Croix des Petits Champs,5,2.3391961152753,48.86262794704129,1881,1881
Joubert (G.),café des Variétés,Boulevard Montmartre,9,2.3420477422575297,48.87148560227801,1879,1881
Julien,café restaurant,Boulevard des Capucines,3,2.33355692021289,48.8706938007476,1907,1907
Julien (J.),cafés,Passage des Petits Pères,3,2.34033027960715,48.866441370671204,1854,1858
Kieffer,café de la Régence,Rue Saint Honoré,161,2.33501351504998,48.863346437118,1879,1886
Klotzsch,café brasserie,Rue de Richelieu,26,2.33661161334009,48.865042982058704,1878,1880
Kurtz,café de la Grande Poste,Rue Coquillière,31,2.34141118008689,48.8642413243104,1896,1896
Lafon,café brasserie,Rue Vivienne,27,2.3400947666661,48.8690997783828,1894,1896
Lagrandeur (Ch.),café de Suède,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1883,1884
Lallemand,café estaminet,Rue Feydeau,24,2.3402844927148796,48.8699420874701,1851,1851
Lalouette (M.),café bar,Rue du Helder,1,2.33472056547746,48.871340780299604,1914,1914
Larquet (E.),café de Bade,Boulevard des Italiens,26,2.33616813213666,48.871487896588896,1896,1898
Lechenaut (Henri),café de Madrid,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1873,1873
Lechenaut (Vre),café de Suède,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1876,1879
Lechenaut (Vve),café de Suède,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1877,1877
Lechenaut (vve),café de Suède,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1874,1875
Leclerc,café du Timbre,Rue de la Banque,14,2.34084616070302,48.8675580709188,1851,1853
Leclère,café du Cercle,Boulevard Montmartre,14,2.34156830486585,48.87190508193051,1870,1870
Lecolley,café Molière,Rue de Montpensier,33,2.3371412440793597,48.8656289658776,1858,1860
Legrain,café brasserie,Rue du Bouloi,7,2.3405561011222797,48.8635461651548,1862,1862
Legrand (Joseph),café du Grand Comptoir de la Bourse,Rue Vivienne,27,2.3400947666661,48.8690997783828,1914,1914
Legrin,café brasserie,Rue du Bouloi,7,2.3405561011222797,48.8635461651548,1863,1864
Lenes,café des Princes,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1896,1896
Lenoble (C.),café brasserie restaurant,Rue Feydeau,32,2.33935651395425,48.8698785182316,1882,1882
Leroux,cafés,Rue Sainte Anne,51,2.33596373320372,48.8674061771309,1886,1886
Leroy,cafés,Rue Saint Honoré,150,2.34033923610895,48.861972117712,1864,1882
Leroy,cafés en gros,Rue Saint Honoré,150,2.34033923610895,48.861972117712,1871,1880
Lesne,café,Boulevard Montmartre,12,2.3418123218643396,48.8718654221604,1857,1857
Lesne,café Garen,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1855,1861
Lesne,café des Princes,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1878,1897
Lesne (A.),café Mazarin,Boulevard Montmartre,16,2.3413811889097103,48.8719321316918,1878,1878
Lesne (A.),café restaurant Mazarin,Boulevard Montmartre,16,2.3413811889097103,48.8719321316918,1879,1879
Lesne (A.),café restaurant du Helder,Boulevard des Italiens,29,2.33508255787461,48.8709525865514,1883,1884
Lesne (E.),café des Princes,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1879,1879
Lesne frères,café des Princes,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1871,1873
Levieux (Paul),café de Bade,Boulevard des Italiens,26,2.33616813213666,48.871487896588896,1886,1888
Loire,café de Madrid,Boulevard Montmartre,8,2.3422372636140896,48.871796381941394,1882,1897
Lott,café brasserie le Sans Nom,Rue Sainte Anne,11,2.33530239497416,48.86604305152571,1880,1883
Lott (Jacques),café brasserie,Rue Sainte Anne,16,2.33551323369603,48.8660953374624,1871,1876
