Nom,Métier,Rue,Numéro,X,Y,de,à
Rousselle,café Moka,Rue Vivienne,14,2.3395227141747497,48.8677407568283,1839,1839
Roy,café brasserie,Rue Croix des Petits Champs,31,2.33991072040073,48.8641044380142,1885,1888
Roydot,café brasserie de la Paix,Rue du Quatre Septembre,2,2.33982326303312,48.8690652096637,1896,1896
Saffroy,café,Rue Coquillière,31,2.34141118008689,48.8642413243104,1856,1857
Salavin (Vor),café du Rhin,Rue Notre Dame des Victoires,38,2.34208249849263,48.8687570205197,1896,1896
Salles,café du Mohican,Rue Coquillière,31,2.34141118008689,48.8642413243104,1900,1900
Sapin,café restaurant,Avenue de l'Opéra,32,2.33352735357384,48.8683270614136,1893,1894
Se llier,café du Cercle,Boulevard Montmartre,14,2.34156830486585,48.87190508193051,1887,1887
Seigne (Claude),café brasserie,Rue Chabanais,5,2.33673171418271,48.8672852342203,1877,1878
Sellier,café du Cercle,Boulevard Montmartre,14,2.34156830486585,48.87190508193051,1886,1886
Seylas (Henri),café restaurant,Rue de Rivoli,176,2.33476723458164,48.863033810549204,1857,1859
Simard,café Favart,Rue Favart,12,2.33811985566648,48.870912079255,1880,1882
Smith,café des Nouveautés,Boulevard des Italiens,30,2.33560501229466,48.8713913208604,1888,1890
Smith,café des Pyrénées,Boulevard des Italiens,30,2.33560501229466,48.8713913208604,1880,1886
Société nouvelle du café Riche,café restaurant,Boulevard des Italiens,16,2.3378541112830096,48.8717780036559,1900,1901
Sorlier (F.),café de la Rotonde,Rue Feydeau,1,2.34236686397784,48.8701277797089,1900,1900
Soufflet,café du Cercle,Boulevard Montmartre,14,2.34156830486585,48.87190508193051,1871,1883
Souillet,café du Cercle,Boulevard Montmartre,14,2.34156830486585,48.87190508193051,1878,1878
Talabas,café Anglais,Boulevard des Italiens,13,2.3374851884386403,48.871365564478204,1848,1852
Talabus,café Anglais,Boulevard des Italiens,13,2.3374851884386403,48.871365564478204,1853,1853
Tarin limonadier,café Minerve,Rue de Richelieu,8,2.33606739381189,48.8640097064462,1851,1851
Taupin,café brasserie,Rue de Richelieu,46,2.33715453469379,48.866080662706395,1890,1890
Thiel (D.),cafés,Rue du Quatre Septembre,20,2.33573672566471,48.8698358460025,1878,1878
Thiel (D.),cafés et thés,Rue du Quatre Septembre,20,2.33573672566471,48.8698358460025,1880,1890
Thiéblin,cafés,Rue Sainte Anne,51,2.33596373320372,48.8674061771309,1887,1887
Touchevieux,café de la Mairie,Rue de la Banque,5,2.3400711194194104,48.8665135721949,1901,1901
Touse,café brasserie,Rue du Quatre Septembre,6,2.33921075812756,48.869181223714,1885,1885
Tousé,café brasserie,Rue du Quatre Septembre,6,2.33921075812756,48.869181223714,1878,1894
Triboulet,café du Mohican,Rue Coquillière,31,2.34141118008689,48.8642413243104,1901,1901
Turmeau (Mme),café des Pyrénées,Boulevard des Italiens,30,2.33560501229466,48.8713913208604,1879,1879
Tépenier (F.),café de la Rotonde et tabac,Rue Feydeau,1,2.34236686397784,48.8701277797089,1914,1922
Udoul et Chatenet,café Garen,Boulevard Montmartre,12,2.3418123218643396,48.8718654221604,1884,1884
Vaissié (C.),café Molière,Rue de Montpensier,33,2.3371412440793597,48.8656289658776,1861,1861
Vallon,café brasserie,Rue Notre Dame des Victoires,38,2.34208249849263,48.8687570205197,1870,1870
Van-der-Maësen (A.) et Cie,cafés,Rue Vivienne,47,2.34110120720537,48.8709467990159,1873,1874
Vantier,grand café de l'Europe,Rue Vivienne,36,2.34120466074847,48.870772694924405,1857,1857
Vasseur,café brasserie,Rue d'Aboukir,8,2.34290460199946,48.8663320816037,1877,1877
Vautier (F.),grand café de l'Europe,Rue Vivienne,36,2.34120466074847,48.870772694924405,1848,1848
Vecco,café brasserie,Rue de Richelieu,46,2.33715453469379,48.866080662706395,1883,1884
Vergne,café limonadier,Rue Vivienne,18,2.33978364406944,48.8682198924153,1907,1907
Verrier,café limonadier,Rue Sainte Anne,11,2.33530239497416,48.86604305152571,1907,1907
Vetzel,café brasserie,Place de Valois,6,2.3382304516574304,48.8631168115303,1878,1879
Vidal (G.),café restaurant de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1890,1894
Vidal (G.) NC),café restaurant de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1898,1898
Vidal (G.) NC.,café restaurant de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1897,1897
Vidal (G.) NCT,café restaurant de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1896,1896
Vien jeune *,grand café de Mulhouse,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1862,1862
Voisin,cafés,Rue Sainte Anne,51,2.33596373320372,48.8674061771309,1883,1884
Weissenbacher,café de France,Place Boieldieu,1,2.33765540534737,48.87067116943751,1907,1907
Yetzel,café brasserie,Place de Valois,6,2.3382304516574304,48.8631168115303,1877,1877
