N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750005655;75056;PAS;DU;PERRON;Pas. du Perron;Passage du Perron;750567292;O;O;7243;"{""type"": ""LineString"", ""coordinates"": [[2.338487420162346, 48.86593567466392], [2.338569945414807, 48.866104782199656], [2.33856356811848, 48.86613261495095]]}";4523;P;750001537;22.88467666;48.8660332022, 2.33853369916
750005945;75056;RUE;DES;BONS ENFANTS;R. des Bons Enfants;Rue des Bons Enfants;750561105;O;O;1110;"{""type"": ""LineString"", ""coordinates"": [[2.3380932241414563, 48.86250601715771], [2.338473502076247, 48.8631626891309], [2.33851301755081, 48.863228892646774], [2.338519656544096, 48.863274144015634], [2.338765299221099, 48.8637019159911], [2.338800249415448, 48.86377281392306]]}";155;P;750001537;150.29034103;48.8631374984, 2.33845080453
750005487;75056;RUE;DE;VENTADOUR;R. de Ventadour;Rue de Ventadour;750569657;O;O;9693;"{""type"": ""LineString"", ""coordinates"": [[2.334119899431461, 48.866428381497094], [2.334220350636495, 48.86660103535296], [2.334599460861213, 48.8672972792613]]}";1862;P;750001537;102.82743046;48.8668617221, 2.33436164859
750005634;75056;RUE;;MOLIERE;R. Molière;Rue Molière;750566407;O;O;6334;"{""type"": ""LineString"", ""coordinates"": [[2.335003415677636, 48.86436113390846], [2.336639852673625, 48.86561086575738]]}";1934;P;750001537;183.6404037;48.8649859998, 2.33582163418
750005955;75056;PL;DE LA;BOURSE;Pl. de la Bourse;Place de la Bourse;750561216;O;O;1224;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.341902076975534, 48.868548064716215], [2.341788311419569, 48.868568995480416], [2.341344477113325, 48.868650580352124], [2.340080169683004, 48.86891204654744]], [[2.342279546220526, 48.86943694298707], [2.34222526853244, 48.869475417132655], [2.340587111551167, 48.869816825570304]]]}";1997;P;750001537;271.52411743;48.8691673326, 2.34120706028
750005862;75056;VOIE;;GEORGES POMPIDOU;Voie Georges Pompidou;Voie Georges Pompidou;750564150;O;O;4091;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.269187987704977, 48.84147259146735], [2.269019622237386, 48.84136151205055], [2.268435413354792, 48.840764313816315], [2.268218315781167, 48.840715713132376]], [[2.269187987704977, 48.84147259146735], [2.269081797347872, 48.841315595902486], [2.268541839177038, 48.840748101394595], [2.268362484625206, 48.84059673562681], [2.2674985938053, 48.83971969023081], [2.26648254016205, 48.83867429074725], [2.266303853280959, 48.838532463490445], [2.266160116484881, 48.838444506141606], [2.265889523797919, 48.838373655103176]], [[2.368140359033975, 48.84448799260438], [2.368259504273106, 48.84435098204824], [2.3685861595601923, 48.84417835580673], [2.368889103705717, 48.844086948866256], [2.369105007666315, 48.844054891392815]], [[2.368140359033975, 48.84448799260438], [2.368275898782013, 48.84444532959578], [2.368445183813705, 48.84435135355112], [2.368579821506154, 48.844281648885755], [2.368725401354255, 48.844235951753824], [2.368870996259397, 48.844235910515785], [2.368980222727258, 48.84427192236597], [2.369042146617767, 48.84433436774165], [2.369068300276172, 48.84443163470244], [2.369144099661451, 48.84467027202914]], [[2.368140359033975, 48.84448799260438], [2.366880209966734, 48.845405145800285], [2.365865622020506, 48.846241917223324], [2.365433406021568, 48.84673519879249], [2.365274151487319, 48.84690384427856]], [[2.2728241719341122, 48.84523922500465], [2.272568981066723, 48.8450229862775], [2.272115729467653, 48.84456302007318], [2.272051074636469, 48.844514693010396], [2.271829142435208, 48.84442797516871]], [[2.2728241719341122, 48.84523922500465], [2.272669552039066, 48.84501908562637], [2.271999430174677, 48.8443201501255], [2.27173999563787, 48.844115237216634], [2.269187987704977, 48.84147259146735]], [[2.365274151487319, 48.84690384427856], [2.365199984390593, 48.846946974293274], [2.365015351818386, 48.84712966312604], [2.364803792058566, 48.84735834752885]], [[2.365015351818386, 48.84712966312604], [2.364822666870984, 48.847168936914315], [2.363931658800435, 48.84777228030793], [2.361636526862223, 48.84930885211178], [2.361380063000998, 48.8496060103377], [2.361249617477258, 48.84982886059752], [2.361192470251413, 48.85000118322991], [2.361153960716523, 48.85016575934903], [2.361137792783392, 48.85026414345418], [2.361126851302198, 48.8504619863846], [2.361115129157721, 48.85073527830694], [2.361104004374154, 48.850837572702225], [2.361110871555746, 48.85094993610753]], [[2.365589918275232, 48.84746257308589], [2.365454535280911, 48.84741789543142], [2.365287725043332, 48.84736402674481], [2.365223017055588, 48.8472921548418], [2.365205934429252, 48.84717760027274], [2.365205890442863, 48.84710122479204], [2.365229667112748, 48.84700462772591], [2.365274151487319, 48.84690384427856]], [[2.276754494951769, 48.84927748812563], [2.2763682196709523, 48.84891856334261], [2.275100050557064, 48.847591363328846], [2.274896979643876, 48.84730168710779], [2.274649460117833, 48.84704714723874], [2.274361080388744, 48.84676039096838], [2.273911124099842, 48.84637300621051], [2.2728241719341122, 48.84523922500465]], [[2.277125052791416, 48.84990690463542], [2.277152378957773, 48.84984540843531], [2.277148090887439, 48.84978524475077], [2.277118449624066, 48.84973208232568], [2.2767968873742452, 48.84937823757155], [2.276754494951769, 48.84927748812563]], [[2.361110871555746, 48.85094993610753], [2.361106710478856, 48.85108069087732], [2.361088938730782, 48.85124427314637], [2.361076169559771, 48.851325840280346], [2.361034549880851, 48.85148754771114], [2.361006517548298, 48.85156731014676], [2.3609698987540932, 48.85164546543283], [2.360923875716336, 48.85172146328604], [2.3608685861400662, 48.85179440687619], [2.36080307308461, 48.85186331438033], [2.360726384055205, 48.85192761949661], [2.360641244123256, 48.851986809744446], [2.360546834996963, 48.8520401567534], [2.360446289283476, 48.85208559164459], [2.360331556220051, 48.85212738646403], [2.360067238084416, 48.85222708117418], [2.358461186983415, 48.85280145451935], [2.358097643338417, 48.852965542532445], [2.357932073241214, 48.853066237965635]], [[2.361110871555746, 48.85094993610753], [2.361160454675094, 48.85119362832431], [2.361198838091224, 48.85138201781856], [2.3611988907089, 48.85149056029604], [2.361192921919425, 48.851544788281345], [2.361180274927677, 48.85159838793397], [2.361162313095134, 48.85165108953022], [2.361039815808657, 48.851950214475394], [2.360975173791171, 48.852129902847615]], [[2.281115521697442, 48.852489751136325], [2.281031221906354, 48.852430806805465], [2.280467035390381, 48.85197352723421], [2.279277541433729, 48.851040377313325], [2.2790546749311122, 48.85091352043258], [2.27890388926474, 48.85080170051677], [2.278359286316633, 48.85040879935894], [2.277734719873323, 48.85000372291219], [2.276869318568818, 48.84931532683368], [2.276754494951769, 48.84927748812563]], [[2.358959674049244, 48.852905673116254], [2.358949082104087, 48.852834776088365], [2.358949189562446, 48.85283102635959], [2.358948751669727, 48.852827294394174], [2.358947742201916, 48.85282360703229], [2.358946186597645, 48.85282000128353], [2.358944087029267, 48.85281652212738], [2.358941482706652, 48.85281319495565], [2.358938388277001, 48.852810047726784], [2.358934842695674, 48.852807126516545], [2.358930863368542, 48.85280445659999], [2.358926514233777, 48.852802047313205], [2.358921812453789, 48.85279994371577], [2.358916824692223, 48.85279815515841], [2.3589115901477022, 48.8527967079323], [2.358906166044155, 48.852795603243365], [2.3589006065812272, 48.85279486656395], [2.358894951377934, 48.85279449001209], [2.358889281988552, 48.85279449111246], [2.358880015663289, 48.85279530214367], [2.358737354628202, 48.85282873827588], [2.358070074219772, 48.853059710732936], [2.357932073241214, 48.853066237965635]], [[2.281763106425313, 48.85294644698087], [2.281574148661694, 48.85290032203683], [2.281393661404325, 48.85283412895313], [2.2812529301125553, 48.85276378192995], [2.281143428008769, 48.852697730643136], [2.281013975358744, 48.852619745358105], [2.280898200378731, 48.85257030961705], [2.2806521882413833, 48.85249950625479], [2.280302157997281, 48.852444036829326]], [[2.281763106425313, 48.85294644698087], [2.281371061892163, 48.85272954140875], [2.281262692617419, 48.852662177670155], [2.281157919087045, 48.85258392527692], [2.281115521697442, 48.852489751136325]], [[2.281763106425313, 48.85294644698087], [2.281481855108887, 48.852700800365376], [2.281379936073396, 48.852629483200744], [2.281231301495851, 48.85253459096247], [2.281115521697442, 48.852489751136325]], [[2.357932073241214, 48.853066237965635], [2.357922782666745, 48.85307188731454], [2.357671056865701, 48.85316509068017], [2.357533986671349, 48.853213596175465], [2.357270064048349, 48.85330751923803], [2.356720680780494, 48.85348162801286], [2.356446534150447, 48.85357476041319], [2.356360790318135, 48.853610620494464], [2.355616988632309, 48.85381419957641], [2.355342019982046, 48.85390506313862], [2.355071140127426, 48.854002768798054], [2.354804623634874, 48.85410604817526], [2.354711834210209, 48.85414446191232], [2.354618089015487, 48.854182786782005], [2.3543626120346453, 48.85429469644224], [2.353867057900235, 48.85453379992642], [2.353511947878247, 48.85473603759391]], [[2.356360790318135, 48.853610620494464], [2.356052228077603, 48.85375962083927], [2.35552002096167, 48.85397796485301], [2.355000483406827, 48.85419360656789], [2.3549596152379833, 48.854235429209886], [2.354966478325644, 48.854370318758754], [2.354763109298745, 48.85428412912067], [2.353747362107872, 48.85468421328884], [2.353511947878247, 48.85473603759391]], [[2.283162259141183, 48.85391329409085], [2.281763106425313, 48.85294644698087]], [[2.353511947878247, 48.85473603759391], [2.35335499903176, 48.854783534219685], [2.352706529822613, 48.855059642129994], [2.352534187741147, 48.85513327232291], [2.352354592116792, 48.85519525776421], [2.352158637030368, 48.855240158405344], [2.351978905520993, 48.85530259312105], [2.351629801424457, 48.85544382582193], [2.351229471851927, 48.85564954211412], [2.351180051220775, 48.85567856874834]], [[2.284541692586135, 48.855022829413834], [2.283740064869715, 48.85443667240136], [2.283305971534794, 48.854093306591224], [2.283179234225464, 48.85396833769474], [2.283162259141183, 48.85391329409085]], [[2.284541692586135, 48.855022829413834], [2.284914168802834, 48.85536099259004], [2.2853348421910002, 48.855694714415336], [2.285378681928488, 48.8557092130851], [2.285433466695669, 48.855748301704175], [2.285484535023633, 48.85579741663571], [2.286420785930314, 48.85654281992372], [2.286562213592018, 48.85658784596331], [2.286636282799329, 48.85664228408231], [2.286704375553675, 48.85669105474995], [2.286741754039762, 48.85678864289536], [2.287598749795033, 48.857426511421366], [2.287875445721885, 48.857663679215726], [2.28799014538097, 48.85785554335605], [2.2879410636911333, 48.85761127925772], [2.287235690026748, 48.856878785931855], [2.2868313940865, 48.85656566164626], [2.286687563900062, 48.856469825881284], [2.285377678422421, 48.85550701960126]], [[2.35278999303925, 48.855212174070715], [2.352507881034335, 48.85529231262787], [2.352391538795793, 48.8552864928634], [2.3522483708423962, 48.855307520030365], [2.352051286447487, 48.8553595696267], [2.351726122218182, 48.855489684935726], [2.351463352969653, 48.85559592428764], [2.351180051220775, 48.85567856874834]], [[2.285377678422421, 48.85550701960126], [2.284541692586135, 48.855022829413834]], [[2.285377678422421, 48.85550701960126], [2.283260228067525, 48.85393833996892], [2.283162259141183, 48.85391329409085]], [[2.351180051220775, 48.85567856874834], [2.350978066427889, 48.85580542777621], [2.350832065096454, 48.85584083290851], [2.350696512341692, 48.85590789958326], [2.350355737726715, 48.85598823814638], [2.350070390322244, 48.85607810055356], [2.349732227160715, 48.85619877845595], [2.349345978258676, 48.85635843535323], [2.348963332490826, 48.856494267888316], [2.348821893834348, 48.856533365641425], [2.348675400223592, 48.85657537749166], [2.347205274872943, 48.85699090079214], [2.347012865680414, 48.857037222521704], [2.346803261779613, 48.85710415674706], [2.3464787894563592, 48.857208150636964], [2.346147500779273, 48.85729728868955], [2.345457519790508, 48.85745121061186], [2.3451134159777762, 48.85754143406698], [2.344430385260467, 48.85773347921607], [2.344060441786801, 48.85784662463057]], [[2.346001980252988, 48.85754505071967], [2.3457917325926703, 48.85754065301585], [2.345628134415343, 48.857527176585016], [2.34543968328745, 48.857546535096006], [2.345294000222387, 48.857580539411025], [2.345089581647941, 48.85763460140326], [2.344495129758888, 48.8577868020683], [2.344265084956276, 48.857827285069774], [2.344060441786801, 48.85784662463057], [2.343751439736137, 48.85793082565154], [2.343070033338738, 48.85812295197426], [2.342726875306167, 48.858215956342505], [2.34237758097113, 48.85829915815579], [2.342323885403999, 48.858310581600065], [2.3421141741403, 48.85837368566544], [2.3405971409725472, 48.85863628507039], [2.3402005785868862, 48.85876308678356], [2.339901474310757, 48.85887822152229], [2.339579323141009, 48.85901174594476]], [[2.321453499832201, 48.86376331798919], [2.320239188093296, 48.86416463308762], [2.320048993970525, 48.864197960824725], [2.319469842637456, 48.864387488348704], [2.319094957383207, 48.8645300566669]], [[2.304740952611561, 48.86447119987515], [2.304627126232637, 48.86453327178515], [2.304448785501926, 48.86457475039054], [2.306258153888798, 48.86462022526049], [2.306384009670461, 48.86463063532415], [2.306583276429632, 48.864692971835055]], [[2.319094957383207, 48.8645300566669], [2.318801880008006, 48.86459511870414], [2.318660550678175, 48.86458457606435]], [[2.319094957383207, 48.8645300566669], [2.318576921807984, 48.864746621087875], [2.318329914072736, 48.86484639287856]], [[2.306686340977441, 48.864527999669434], [2.3072761188572333, 48.864702620295006]], [[2.319678595272537, 48.86457411802011], [2.319284339176804, 48.86467879789661], [2.318899107922797, 48.86477599669594], [2.318583829200338, 48.86482923852626], [2.318329914072736, 48.86484639287856]], [[2.306583276429632, 48.864692971835055], [2.304467380431987, 48.864653756572466], [2.303853969452565, 48.86463555321222], [2.303370645868736, 48.864597644680316], [2.303809423008937, 48.86470063901339], [2.304028314169198, 48.8647827330337]], [[2.306583276429632, 48.864692971835055], [2.306014844348459, 48.864738918217235], [2.305608455264176, 48.86482091367437]], [[2.3072761188572333, 48.864702620295006], [2.306583276429632, 48.864692971835055]], [[2.318329914072736, 48.86484639287856], [2.317883833691978, 48.86490946771514], [2.317430281614941, 48.86490173130351], [2.316973663200045, 48.864891762377695], [2.316378957348364, 48.86487889855803], [2.313683556202072, 48.86481858198844], [2.31043805429836, 48.864751873437385], [2.310065690150756, 48.86474141024531], [2.3072761188572333, 48.864702620295006]], [[2.318197704016043, 48.865014446434266], [2.317883833691978, 48.86490946771514]]]}";5087;P;750001537;9616.89989835;48.8542416724, 2.31689245877
750006618;75056;PAS;;POTIER;Pas. Potier;Passage Potier;750567761;O;O;7733;"{""type"": ""LineString"", ""coordinates"": [[2.33689446095781, 48.86501107587783], [2.336541321531822, 48.86508960121976]]}";5325;V;750001537;27.33885496;48.8650503385, 2.33671789124
750005748;75056;RUE;DE LA;PAIX;R. de la Paix;Rue de la Paix;750566998;O;O;6911;"{""type"": ""LineString"", ""coordinates"": [[2.330306802090364, 48.86835619530996], [2.330365957649059, 48.868389462948414], [2.331488791175053, 48.86952755843379], [2.33152627433293, 48.86956559053315], [2.331563757011821, 48.869603451741376], [2.332096979482504, 48.87013935165046], [2.332206024106736, 48.87024925621552]]}";4664;P;750001537;252.65728138;48.8692962264, 2.33126117193
750005784;75056;RUE;DU;MAIL;R. du Mail;Rue du Mail;750565913;O;O;5842;"{""type"": ""LineString"", ""coordinates"": [[2.3412877020101, 48.86628144241539], [2.341302425690496, 48.86630797046812], [2.341345991917013, 48.86632715042194], [2.341418836656088, 48.86634396341448], [2.341497135926335, 48.86638360924634], [2.343850718521205, 48.86729730630338], [2.343966928920103, 48.86733773927282]]}";4949;P;750001537;229.85597074;48.866818877, 2.34261942771
750005982;75056;RUE;;BRONGNIART;R. Brongniart;Rue Brongniart;750561317;O;O;1315;"{""type"": ""LineString"", ""coordinates"": [[2.342831462850108, 48.869749438849915], [2.34274946587842, 48.86973279777984], [2.342479413294825, 48.869678136524186], [2.342378727155165, 48.86965773670643]]}";1514;P;750001537;34.74073822;48.8697035779, 2.34260509701
